pmt#,mean_phot_count,mode
0,3734.24,3752.08
1,4694.74,4685.42
2,2979.05,3027.08
3,3670.89,3302.08
4,5325.65,5527.08
5,5844.72,6210.42
6,5255.65,5352.08
7,3566.96,3452.08
8,5231.88,4818.75
9,6908.14,7022.92
10,4378.45,4535.42
11,5144.15,5277.08
12,4461.42,4502.08
13,6798.76,6568.75
14,7593.19,7827.08
15,4806.68,4906.25
16,6744.28,6802.08
17,4398.37,4360.42
18,4601.5,4681.25
19,7002.35,7285.42
20,7913.97,8156.25
21,5042.09,5168.75
22,7031.64,7185.42
23,4547.91,4427.08
24,5788.02,5831.25
25,7830.17,7793.75
26,4931.86,4977.08
27,5739.66,5827.08
28,6434.05,6418.75
29,7146.56,7152.08
30,6338.74,6452.08
31,4202.36,4247.92
32,4694.03,4697.92
33,6176.12,6072.92
34,3887.77,3852.08
35,4645.19,4602.08
